Date,Temperature,Dew Point,Humidity,Wind Speed (Kph),Pressure (Hg),Precipitation (mm),pm2.5,pm10
1/1/2020,11.96,0,49,2.99,30.14,0,216,115
1/2/2020,11.96,1,52,2.99,30.14,0.8,217,82
1/3/2020,9.97,3.99,70,2.99,30.02,1.79,206,57
1/4/2020,9.97,4.98,80,2.99,29.97,7.18,145,55
1/5/2020,9.97,2.99,73,3.99,29.97,1.2,114,70
1/6/2020,9.97,1.99,69,2.99,29.97,0,154,70
1/7/2020,9.97,3.99,73,1.99,29.97,0,163,73
1/8/2020,9.97,4.98,75,1.99,29.94,3.39,179,60
1/9/2020,9.97,5.98,82,3.99,29.94,7.28,157,61
1/10/2020,8.97,3.99,78,2.99,30.02,0.5,146,73
1/11/2020,10.96,4.98,74,2.99,29.99,0,163,70
1/12/2020,12.96,5.98,71,1.99,29.94,0,172,82
1/13/2020,12.96,5.98,73,2.99,29.85,0,173,84
1/14/2020,14.95,5.98,65,2.99,29.91,0,183,74
1/15/2020,14.95,4.98,61,2.99,29.94,0,165,73
1/16/2020,12.96,4.98,65,2.99,29.97,0.1,171,43
1/17/2020,7.97,5.98,91,5.98,29.97,40.07,126,80
1/18/2020,11.96,4.98,72,4.98,30.02,3.19,142,82
1/19/2020,11.96,3.99,66,3.99,29.99,3.09,150,82
1/20/2020,9.97,1.99,66,2.99,29.97,0.1,145,107
1/21/2020,11.96,1.99,56,2.99,30.05,0,201,102
1/22/2020,14.95,1.99,48,3.99,30.05,0,175,81
1/23/2020,11.96,2.99,59,2.99,29.94,0.1,147,81
1/24/2020,10.96,3.99,76,3.99,29.99,0,144,85
1/25/2020,10.96,3.99,73,2.99,29.97,0,164,82
1/26/2020,8.97,3.99,80,2.99,29.91,2.29,165,89
1/27/2020,9.97,3.99,78,2.99,29.88,0.2,165,99
1/28/2020,11.96,3.99,71,2.99,29.91,0,179,77
1/29/2020,13.96,3.99,61,2.99,29.99,1.5,153,83
1/30/2020,10.96,3.99,69,2.99,29.94,6.68,151,75
1/31/2020,9.97,3.99,76,2.99,29.91,0.7,149,83
2/1/2020,9.97,3.99,77,3.99,29.99,4.98,145,72
2/2/2020,10.96,3.99,72,2.99,30.02,0.1,142,81
2/3/2020,10.96,1.99,66,2.99,29.99,0,152,81
2/4/2020,11.96,3.99,70,2.99,29.99,0,161,75
2/5/2020,11.96,3.99,66,2.99,29.94,0.2,158,92
2/6/2020,11.96,3.99,69,3.99,29.94,0,162,88
2/7/2020,10.96,1.99,61,2.99,30.05,0,163,96
2/8/2020,10.96,1,59,3.99,30.11,1.89,152,87
2/9/2020,11.96,1,57,3.99,30.14,0.1,161,81.75
2/10/2020,12.96,1,52,2.99,30.02,0,162,76.5
2/11/2020,12.96,2.99,61,2.99,29.99,0,160,71.25
2/12/2020,13.96,4.98,68,2.99,29.99,0,164,66
2/13/2020,15.95,6.98,67,2.99,29.91,0,164,67
2/14/2020,14.95,6.98,73,3.99,29.76,0,165,75
2/15/2020,13.96,7.97,76,3.99,29.85,0.3,173,80
2/16/2020,14.95,7.97,73,2.99,29.94,0,183,74
2/17/2020,14.95,7.97,72,3.99,29.97,0.5,192,68
2/18/2020,15.95,8.97,75,3.99,29.97,0.1,181,63
2/19/2020,14.95,9.97,76,2.99,29.94,5.08,175,61.6
2/20/2020,15.95,7.97,69,2.99,29.97,0.5,191,60.2
